totalSupply,spentTotal,totalOut,totalBurn,totalMint,totalIn,totalBalances,owner,allowanceTotal,,allowance,balanceOf
allBurn,allowance,balanceOf,allMint,totalBalances,owner,,totalSupply
spentTotal,allBurn,totalOut,totalBurn,allMint,totalMint,totalIn,totalBalances,owner,allowanceTotal,,totalSupply,allowance,balanceOf
totalSupply,allowance,balanceOf,totalBalances,owner,
totalSupply,totalOut,totalBurn,allowance,totalMint,totalIn,totalBalances,owner,,balanceOf
totalSupply,spentTotal,balanceOf,totalBalances,owner,allowanceTotal,,allowance
spentTotal,allBurn,balanceOf,allMint,totalBalances,owner,allowanceTotal,,totalSupply,allowance
allBurn,totalOut,totalBurn,allowance,allMint,totalMint,totalIn,totalBalances,owner,,totalSupply,balanceOf
