allMint,allBurn,allowanceTotal,effectiveTime,oldOwner,balanceOf,newOwner,totalBalances,spentTotal,,totalSupply,allowance,owner
newOwner,totalBurn,totalMint,oldOwner,effectiveTime,totalIn,totalSupply,totalOut,totalBalances,allowance,,balanceOf,owner
allowanceTotal,oldOwner,effectiveTime,totalSupply,balanceOf,newOwner,totalBalances,spentTotal,,allowance,owner
allMint,newOwner,totalBurn,totalMint,allBurn,oldOwner,effectiveTime,totalIn,totalOut,totalBalances,allowance,,totalSupply,balanceOf,owner
newOwner,totalBurn,totalMint,allowanceTotal,oldOwner,effectiveTime,totalIn,totalSupply,totalOut,totalBalances,spentTotal,,allowance,balanceOf,owner
oldOwner,effectiveTime,totalSupply,balanceOf,newOwner,totalBalances,allowance,,owner
allMint,allBurn,oldOwner,effectiveTime,balanceOf,newOwner,totalBalances,allowance,,totalSupply,owner
allMint,newOwner,totalBurn,totalMint,allowanceTotal,allBurn,effectiveTime,oldOwner,totalIn,totalOut,totalBalances,spentTotal,,allowance,totalSupply,balanceOf,owner
